Process Log at 2026-03-12 13:46:38.928760
----------------------------------------
Name: RvControlSvc.exe, PID: 5184, CPU: 0.0%, Memory: 14.00 MB
Name: WavesSysSvc64.exe, PID: 5200, CPU: 0.0%, Memory: 16.87 MB
Name: Discord.exe, PID: 5220, CPU: 0.0%, Memory: 164.70 MB
Name: RstMwService.exe, PID: 5228, CPU: 0.0%, Memory: 6.29 MB
Name: WMIRegistrationService.exe, PID: 5240, CPU: 0.0%, Memory: 10.36 MB
Name: svchost.exe, PID: 5256, CPU: 0.0%, Memory: 23.67 MB
Name: svchost.exe, PID: 5264, CPU: 0.0%, Memory: 6.70 MB
Name: svchost.exe, PID: 5280, CPU: 0.0%, Memory: 9.64 MB
Name: chrome.exe, PID: 5340, CPU: 0.0%, Memory: 25.67 MB
Name: OBUpdateService.exe, PID: 5404, CPU: 0.0%, Memory: 2.88 MB
Name: Cursor.exe, PID: 5444, CPU: 0.0%, Memory: 260.72 MB
Name: XboxApp.exe, PID: 5552, CPU: 0.0%, Memory: 1.96 MB
Name: svchost.exe, PID: 5596, CPU: 0.0%, Memory: 4.74 MB
Name: svchost.exe, PID: 5780, CPU: 0.0%, Memory: 14.65 MB
Name: Video.UI.exe, PID: 5844, CPU: 0.0%, Memory: 49.48 MB
Name: RuntimeBroker.exe, PID: 5944, CPU: 0.0%, Memory: 35.73 MB
Name: Discord.exe, PID: 6100, CPU: 0.0%, Memory: 620.42 MB
Name: svchost.exe, PID: 6112, CPU: 0.0%, Memory: 9.02 MB
Name: Discord.exe, PID: 6324, CPU: 0.0%, Memory: 147.45 MB
Name: RuntimeBroker.exe, PID: 6332, CPU: 0.0%, Memory: 11.80 MB
Name: Discord.exe, PID: 6452, CPU: 0.0%, Memory: 56.06 MB
Name: svchost.exe, PID: 6784, CPU: 0.0%, Memory: 10.24 MB
Name: chrome.exe, PID: 6872, CPU: 0.0%, Memory: 183.82 MB
Name: SearchIndexer.exe, PID: 6896, CPU: 0.0%, Memory: 60.95 MB
Name: svchost.exe, PID: 6944, CPU: 0.0%, Memory: 18.77 MB
Name: RuntimeBroker.exe, PID: 6976, CPU: 0.0%, Memory: 25.34 MB
Name: UserOOBEBroker.exe, PID: 6980, CPU: 0.0%, Memory: 9.98 MB
Name: FileCoAuth.exe, PID: 7028, CPU: 0.0%, Memory: 25.24 MB
Name: dllhost.exe, PID: 7052, CPU: 0.0%, Memory: 12.85 MB
Name: dllhost.exe, PID: 7372, CPU: 0.0%, Memory: 10.55 MB
Name: conhost.exe, PID: 7436, CPU: 0.0%, Memory: 7.28 MB
Name: sihost.exe, PID: 7476, CPU: 0.0%, Memory: 37.49 MB
Name: svchost.exe, PID: 7516, CPU: 0.0%, Memory: 39.05 MB
Name: igfxEM.exe, PID: 7564, CPU: 0.0%, Memory: 13.78 MB
Name: svchost.exe, PID: 7588, CPU: 0.0%, Memory: 59.51 MB
Name: svchost.exe, PID: 7656, CPU: 0.0%, Memory: 8.21 MB
Name: taskhostw.exe, PID: 7692, CPU: 0.0%, Memory: 19.19 MB
Name: conhost.exe, PID: 7716, CPU: 0.0%, Memory: 6.97 MB
Name: svchost.exe, PID: 7736, CPU: 0.0%, Memory: 20.04 MB
Name: explorer.exe, PID: 8064, CPU: 0.0%, Memory: 434.53 MB
Name: Cursor.exe, PID: 8084, CPU: 0.0%, Memory: 120.88 MB
Name: svchost.exe, PID: 8256, CPU: 0.0%, Memory: 8.62 MB
Name: StartMenuExperienceHost.exe, PID: 8400, CPU: 0.0%, Memory: 80.74 MB
Name: svchost.exe, PID: 8408, CPU: 0.0%, Memory: 9.56 MB
Name: RtkAudUService64.exe, PID: 8524, CPU: 0.0%, Memory: 13.82 MB
Name: RuntimeBroker.exe, PID: 8600, CPU: 0.0%, Memory: 27.31 MB
Name: svchost.exe, PID: 8684, CPU: 0.0%, Memory: 29.47 MB
Name: Discord.exe, PID: 8716, CPU: 0.0%, Memory: 84.33 MB
Name: svchost.exe, PID: 8768, CPU: 0.0%, Memory: 8.06 MB
Name: AggregatorHost.exe, PID: 8780, CPU: 0.0%, Memory: 9.63 MB
Name: svchost.exe, PID: 8836, CPU: 0.0%, Memory: 26.81 MB
Name: Cursor.exe, PID: 9072, CPU: 0.0%, Memory: 973.14 MB
Name: svchost.exe, PID: 9252, CPU: 0.0%, Memory: 24.07 MB
Name: NisSrv.exe, PID: 9332, CPU: 0.0%, Memory: 15.33 MB
Name: SearchApp.exe, PID: 9420, CPU: 0.0%, Memory: 309.20 MB
Name: Discord.exe, PID: 9532, CPU: 0.0%, Memory: 33.31 MB
Name: RuntimeBroker.exe, PID: 9656, CPU: 0.0%, Memory: 49.47 MB
Name: cmd.exe, PID: 9720, CPU: 0.0%, Memory: 3.63 MB
Name: ollama.exe, PID: 9736, CPU: 0.0%, Memory: 27.34 MB
Name: conhost.exe, PID: 9820, CPU: 0.0%, Memory: 5.96 MB
Name: svchost.exe, PID: 9872, CPU: 0.0%, Memory: 28.78 MB
Name: python.exe, PID: 10308, CPU: 0.0%, Memory: 514.88 MB
Name: Cursor.exe, PID: 10476, CPU: 0.0%, Memory: 128.41 MB
Name: ShellExperienceHost.exe, PID: 10592, CPU: 0.0%, Memory: 68.18 MB
Name: TextInputHost.exe, PID: 10684, CPU: 0.0%, Memory: 44.74 MB
Name: SecurityHealthService.exe, PID: 10720, CPU: 0.0%, Memory: 12.79 MB
Name: svchost.exe, PID: 10812, CPU: 0.0%, Memory: 26.70 MB
Name: ctfmon.exe, PID: 10848, CPU: 0.0%, Memory: 20.84 MB
Name: svchost.exe, PID: 10856, CPU: 0.0%, Memory: 11.06 MB
Name: svchost.exe, PID: 10876, CPU: 0.0%, Memory: 7.60 MB
Name: TabTip.exe, PID: 10900, CPU: 0.0%, Memory: 15.97 MB
Name: unsecapp.exe, PID: 10980, CPU: 0.0%, Memory: 8.07 MB
Name: Cursor.exe, PID: 11092, CPU: 0.0%, Memory: 214.54 MB
Name: taskhostw.exe, PID: 11156, CPU: 0.0%, Memory: 30.69 MB
Name: SecurityHealthSystray.exe, PID: 11304, CPU: 0.0%, Memory: 8.61 MB
Name: svchost.exe, PID: 11348, CPU: 0.0%, Memory: 27.54 MB
Name: Cursor.exe, PID: 11448, CPU: 0.0%, Memory: 144.19 MB
Name: conhost.exe, PID: 11628, CPU: 0.0%, Memory: 7.33 MB
Name: Cursor.exe, PID: 11736, CPU: 0.0%, Memory: 100.18 MB
Name: dasHost.exe, PID: 12332, CPU: 0.0%, Memory: 16.43 MB
Name: WavesSvc64.exe, PID: 12368, CPU: 0.0%, Memory: 27.44 MB
Name: msedgewebview2.exe, PID: 12496, CPU: 0.0%, Memory: 42.94 MB
Name: msedgewebview2.exe, PID: 12544, CPU: 0.0%, Memory: 33.09 MB
Name: chrome.exe, PID: 12692, CPU: 0.0%, Memory: 18.94 MB
Name: svchost.exe, PID: 12876, CPU: 0.0%, Memory: 7.47 MB
Name: Cursor.exe, PID: 13064, CPU: 0.0%, Memory: 58.99 MB
Name: svchost.exe, PID: 13184, CPU: 0.0%, Memory: 15.02 MB
Name: taskhostw.exe, PID: 13284, CPU: 0.0%, Memory: 19.95 MB
Name: msedgewebview2.exe, PID: 13392, CPU: 0.0%, Memory: 88.12 MB
Name: SearchApp.exe, PID: 13488, CPU: 0.0%, Memory: 68.77 MB
Name: btweb.exe, PID: 13772, CPU: 0.0%, Memory: 19.30 MB
Name: RtkAudUService64.exe, PID: 13884, CPU: 0.0%, Memory: 13.12 MB
Name: svchost.exe, PID: 14172, CPU: 0.0%, Memory: 6.91 MB
Name: Cursor.exe, PID: 15256, CPU: 0.0%, Memory: 130.10 MB
Name: msedgewebview2.exe, PID: 15456, CPU: 0.0%, Memory: 54.35 MB
Name: CompPkgSrv.exe, PID: 15460, CPU: 0.0%, Memory: 8.32 MB
Name: Cursor.exe, PID: 15572, CPU: 0.0%, Memory: 287.01 MB
Name: RuntimeBroker.exe, PID: 15760, CPU: 0.0%, Memory: 13.60 MB
Name: Cursor.exe, PID: 15768, CPU: 0.0%, Memory: 328.33 MB
Name: powershell.exe, PID: 15892, CPU: 0.0%, Memory: 90.39 MB
Name: ollama app.exe, PID: 16092, CPU: 0.0%, Memory: 25.73 MB
Name: RvRvpnGui.exe, PID: 16100, CPU: 0.0%, Memory: 32.30 MB
Name: msedgewebview2.exe, PID: 16136, CPU: 0.0%, Memory: 18.36 MB
Name: WmiPrvSE.exe, PID: 16144, CPU: 0.0%, Memory: 12.51 MB
Name: Copilot.exe, PID: 16160, CPU: 0.0%, Memory: 249.95 MB
Name: svchost.exe, PID: 16292, CPU: 0.0%, Memory: 7.10 MB
Name: audiodg.exe, PID: 16364, CPU: 0.0%, Memory: 24.00 MB
Name: python.exe, PID: 16404, CPU: 0.0%, Memory: 392.97 MB
